GeneID	GeneSymbol	TranscriptID	UniProtMatch	InGencodeV34
ENSG00000168394	TAP1	ENST00000354258	Q03518	TRUE
ENSG00000204267	TAP2	ENST00000374897	Q03519	TRUE
ENSG00000135111	TBX3	ENST00000257566	O15119	TRUE
ENSG00000154582	ELOC	ENST00000622804	Q15369	TRUE
ENSG00000071564	TCF3	ENST00000262965	P15923	TRUE
ENSG00000148737	TCF7L2	ENST00000627217	Q9NQB0	TRUE
ENSG00000120156	TEK	ENST00000380036	Q02763	TRUE
ENSG00000164362	TERT	ENST00000310581	O14746	TRUE
ENSG00000138336	TET1	ENST00000373644	Q8NFU7	TRUE
ENSG00000168769	TET2	ENST00000540549	Q6N021	TRUE
ENSG00000106799	TGFBR1	ENST00000552516	P36897	TRUE
ENSG00000163513	TGFBR2	ENST00000359013	P37173	TRUE
ENSG00000135956	TMEM127	ENST00000258439	O75204	TRUE
ENSG00000184012	TMPRSS2	ENST00000398585	O15393	TRUE
ENSG00000118503	TNFAIP3	ENST00000612899	P21580	TRUE
ENSG00000157873	TNFRSF14	ENST00000355716	Q92956	TRUE
ENSG00000198900	TOP1	ENST00000361337	P11387	TRUE
ENSG00000141510	TP53	ENST00000269305	P04637	TRUE
ENSG00000067369	TP53BP1	ENST00000382044	Q12888	TRUE
ENSG00000073282	TP63	ENST00000264731	Q9H3D4	TRUE
ENSG00000127191	TRAF2	ENST00000247668	Q12933	TRUE
ENSG00000131653	TRAF7	ENST00000326181	Q6Q0C0	TRUE
ENSG00000165699	TSC1	ENST00000298552	Q92574	TRUE
ENSG00000103197	TSC2	ENST00000219476	P49815	TRUE
ENSG00000165409	TSHR	ENST00000541158	A0A0A0MTJ0	TRUE
ENSG00000160201	U2AF1	ENST00000291552	Q01081	TRUE
ENSG00000005007	UPF1	ENST00000599848	Q92900	TRUE
ENSG00000112715	VEGFA	ENST00000372055	J3KPA4	TRUE
ENSG00000134086	VHL	ENST00000256474	P40337	TRUE
ENSG00000134258	VTCN1	ENST00000369458	Q7Z7D3	TRUE
ENSG00000109685	NSD2	ENST00000382895	O96028	TRUE
ENSG00000147548	NSD3	ENST00000317025	Q9BZ95	TRUE
ENSG00000184937	WT1	ENST00000379079	P19544	TRUE
ENSG00000018408	WWTR1	ENST00000465804	Q9GZV5	TRUE
ENSG00000101966	XIAP	ENST00000371199	P98170	TRUE
ENSG00000082898	XPO1	ENST00000401558	O14980	TRUE
ENSG00000196584	XRCC2	ENST00000359321	O43543	TRUE
ENSG00000137693	YAP1	ENST00000615667	P46937	TRUE
ENSG00000176105	YES1	ENST00000584307	P07947	TRUE
ENSG00000140836	ZFHX3	ENST00000641206	Q15911	TRUE
ENSG00000169249	ZRSR2	ENST00000307771	Q15696	TRUE
